InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,,,,,,
100000,0.05,16,0.77,4985,0,0,0,0,,,,,,
100000,0.05,15,0.77,4985,0,0,0,0,,,,,,
100000,0.05,14,0.77,4985,0,0,0,0,,,,,,
100000,0.05,13,0.77,4985,0,0,0,0,,,,,,
100000,0.05,12,0.77,4985,0,0,0,0,,,,,,
100000,0.05,11,0.77,4985,2,1,0,0,,,,,,
100000,0.05,3,0.77,4985,0,0,0,0,,,,,,
100000,0.05,2,0.77,4985,0,0,0,0,,,,,,
100000,0.05,1,0.77,4985,0,0,0,0,,,,,,
100000,0.01,19,0.77,1026,0,0,0,0,,,,,,
100000,0.01,18,0.77,1026,0,0,0,0,,,,,,
100000,0.01,17,0.77,1026,0,0,0,0,,,,,,
100000,0.01,16,0.77,1026,0,0,0,0,,,,,,
100000,0.01,15,0.77,1026,0,0,0,0,,,,,,
100000,0.01,14,0.77,1026,0,0,0,0,,,,,,
100000,0.01,13,0.77,1026,0,0,0,0,,,,,,
100000,0.01,12,0.77,1026,0,0,0,0,,,,,,
100000,0.01,11,0.77,1026,0,0,0,0,,,,,,
100000,0.01,10,0.77,1026,0,0,0,0,,,,,,
100000,0.01,9,0.77,1026,0,0,0,0,,,,,,
100000,0.01,7,0.77,1026,0,0,0,0,,,,,,
100000,0.01,6,0.77,1026,0,0,0,0,,,,,,
100000,0.01,5,0.77,1026,0,0,0,0,,,,,,
100000,0.01,4,0.77,1026,0,0,0,0,,,,,,
100000,0.01,3,0.77,1026,0,0,0,0,,,,,,
100000,0.01,2,0.77,1026,0,0,0,0,,,,,,
100000,0.01,1,0.77,1026,0,0,0,0,,,,,,
100000,0.1,5,0.76,10011,1763,1241,0.176,0.124,,,,,,
100000,0.1,4,0.76,10011,1276,937,0.127,0.094,,,,,,
100000,0.1,6,0.76,10011,1081,743,0.108,0.074,,,,,,
100000,0.05,6,0.76,5174,255,145,0.049,0.028,,,,,,
100000,0.1,7,0.76,10011,463,325,0.046,0.032,,,,,,
100000,0.05,7,0.76,5174,223,135,0.043,0.026,,,,,,
100000,0.1,3,0.76,10011,365,279,0.036,0.028,,,,,,
100000,0.05,5,0.76,5174,114,51,0.022,0.01,,,,,,
100000,0.1,8,0.76,10011,145,101,0.014,0.01,,,,,,
100000,0.05,8,0.76,5174,72,35,0.014,0.007,,,,,,
100000,0.05,9,0.76,5174,37,24,0.007,0.005,,,,,,
100000,0.1,9,0.76,10011,46,36,0.005,0.004,,,,,,
100000,0.01,8,0.76,968,4,1,0.004,0.001,,,,,,
100000,0.1,10,0.76,10011,6,4,0.001,0,,,,,,
100000,0.05,11,0.76,5174,5,3,0.001,0.001,,,,,,
100000,0.05,10,0.76,5174,4,2,0.001,0,,,,,,
100000,0.05,4,0.76,5174,7,4,0.001,0.001,,,,,,
100000,0.1,19,0.76,10011,0,0,0,0,,,,,,
100000,0.1,18,0.76,10011,0,0,0,0,,,,,,
100000,0.1,17,0.76,10011,0,0,0,0,,,,,,
100000,0.1,16,0.76,10011,0,0,0,0,,,,,,
100000,0.1,15,0.76,10011,0,0,0,0,,,,,,
100000,0.1,14,0.76,10011,0,0,0,0,,,,,,
100000,0.1,13,0.76,10011,0,0,0,0,,,,,,
100000,0.1,12,0.76,10011,0,0,0,0,,,,,,
100000,0.1,11,0.76,10011,3,2,0,0,,,,,,
100000,0.1,2,0.76,10011,0,0,0,0,,,,,,
100000,0.1,1,0.76,10011,0,0,0,0,,,,,,
100000,0.05,19,0.76,5174,0,0,0,0,,,,,,
100000,0.05,18,0.76,5174,0,0,0,0,,,,,,
100000,0.05,17,0.76,5174,0,0,0,0,,,,,,
100000,0.05,16,0.76,5174,0,0,0,0,,,,,,
100000,0.05,15,0.76,5174,0,0,0,0,,,,,,
100000,0.05,14,0.76,5174,0,0,0,0,,,,,,
100000,0.05,13,0.76,5174,0,0,0,0,,,,,,
100000,0.05,12,0.76,5174,2,0,0,0,,,,,,
100000,0.05,3,0.76,5174,0,0,0,0,,,,,,
100000,0.05,2,0.76,5174,0,0,0,0,,,,,,
100000,0.05,1,0.76,5174,0,0,0,0,,,,,,
100000,0.01,19,0.76,968,0,0,0,0,,,,,,
100000,0.01,18,0.76,968,0,0,0,0,,,,,,
100000,0.01,16,0.76,968,0,0,0,0,,,,,,
100000,0.01,15,0.76,968,0,0,0,0,,,,,,
100000,0.01,14,0.76,968,0,0,0,0,,,,,,
100000,0.01,13,0.76,968,0,0,0,0,,,,,,
100000,0.01,12,0.76,968,0,0,0,0,,,,,,
100000,0.01,11,0.76,968,0,0,0,0,,,,,,
100000,0.01,10,0.76,968,0,0,0,0,,,,,,
100000,0.01,9,0.76,968,0,0,0,0,,,,,,
100000,0.01,7,0.76,968,0,0,0,0,,,,,,
100000,0.01,6,0.76,968,0,0,0,0,,,,,,
100000,0.01,5,0.76,968,0,0,0,0,,,,,,
100000,0.01,4,0.76,968,0,0,0,0,,,,,,
100000,0.01,3,0.76,968,0,0,0,0,,,,,,
100000,0.01,2,0.76,968,0,0,0,0,,,,,,
100000,0.01,1,0.76,968,0,0,0,0,,,,,,
100000,0.1,5,0.75,10037,1580,1076,0.157,0.107,,,,,,
100000,0.1,4,0.75,10037,1011,713,0.101,0.071,,,,,,
100000,0.1,6,0.75,10037,934,612,0.093,0.061,,,,,,
100000,0.05,7,0.75,5036,202,114,0.04,0.023,,,,,,
100000,0.1,7,0.75,10037,382,255,0.038,0.025,,,,,,
100000,0.05,6,0.75,5036,190,98,0.038,0.019,,,,,,
100000,0.05,5,0.75,5036,100,65,0.02,0.013,,,,,,
100000,0.05,8,0.75,5036,57,38,0.011,0.008,,,,,,
100000,0.1,8,0.75,10037,85,54,0.008,0.005,,,,,,
100000,0.05,9,0.75,5036,31,22,0.006,0.004,,,,,,
100000,0.1,9,0.75,10037,21,15,0.002,0.001,,,,,,
100000,0.05,4,0.75,5036,3,1,0.001,0,,,,,,
100000,0.01,11,0.75,1006,1,0,0.001,0,,,,,,
100000,0.01,8,0.75,1006,1,0,0.001,0,,,,,,
100000,0.1,19,0.75,10037,0,0,0,0,,,,,,
100000,0.1,18,0.75,10037,0,0,0,0,,,,,,
100000,0.1,17,0.75,10037,0,0,0,0,,,,,,
100000,0.1,16,0.75,10037,0,0,0,0,,,,,,
100000,0.1,15,0.75,10037,0,0,0,0,,,,,,
100000,0.1,14,0.75,10037,0,0,0,0,,,,,,
100000,0.1,13,0.75,10037,0,0,0,0,,,,,,
100000,0.1,12,0.75,10037,0,0,0,0,,,,,,
100000,0.1,3,0.75,10037,0,0,0,0,,,,,,
100000,0.1,2,0.75,10037,0,0,0,0,,,,,,
100000,0.1,1,0.75,10037,0,0,0,0,,,,,,
100000,0.05,19,0.75,5036,0,0,0,0,,,,,,
100000,0.05,18,0.75,5036,0,0,0,0,,,,,,
100000,0.05,17,0.75,5036,0,0,0,0,,,,,,
100000,0.05,16,0.75,5036,0,0,0,0,,,,,,
100000,0.05,15,0.75,5036,0,0,0,0,,,,,,
100000,0.05,14,0.75,5036,0,0,0,0,,,,,,
100000,0.05,13,0.75,5036,0,0,0,0,,,,,,
100000,0.05,12,0.75,5036,0,0,0,0,,,,,,
100000,0.05,11,0.75,5036,0,0,0,0,,,,,,
100000,0.05,10,0.75,5036,0,0,0,0,,,,,,
100000,0.05,3,0.75,5036,0,0,0,0,,,,,,
100000,0.05,2,0.75,5036,0,0,0,0,,,,,,
100000,0.05,1,0.75,5036,0,0,0,0,,,,,,
100000,0.01,19,0.75,1006,0,0,0,0,,,,,,
100000,0.01,18,0.75,1006,0,0,0,0,,,,,,
100000,0.01,17,0.75,1006,0,0,0,0,,,,,,
100000,0.01,16,0.75,1006,0,0,0,0,,,,,,
100000,0.01,15,0.75,1006,0,0,0,0,,,,,,
100000,0.01,14,0.75,1006,0,0,0,0,,,,,,
100000,0.01,13,0.75,1006,0,0,0,0,,,,,,
100000,0.01,12,0.75,1006,0,0,0,0,,,,,,
100000,0.01,10,0.75,1006,0,0,0,0,,,,,,
100000,0.01,9,0.75,1006,0,0,0,0,,,,,,
100000,0.01,7,0.75,1006,0,0,0,0,,,,,,
100000,0.01,6,0.75,1006,0,0,0,0,,,,,,
100000,0.01,5,0.75,1006,0,0,0,0,,,,,,
100000,0.01,4,0.75,1006,0,0,0,0,,,,,,
100000,0.01,3,0.75,1006,0,0,0,0,,,,,,
100000,0.01,2,0.75,1006,0,0,0,0,,,,,,
100000,0.01,1,0.75,1006,0,0,0,0,,,,,,
100000,0.1,4,0.74,10000,769,518,0.077,0.052,,,,,,
100000,0.05,6,0.74,4953,134,74,0.027,0.015,,,,,,
100000,0.05,7,0.74,4953,116,59,0.023,0.012,,,,,,
100000,0.05,5,0.74,4953,83,48,0.017,0.01,,,,,,
100000,0.05,8,0.74,4953,55,31,0.011,0.006,,,,,,
100000,0.1,8,0.74,10000,65,48,0.006,0.005,,,,,,
100000,0.05,9,0.74,4953,18,9,0.004,0.002,,,,,,
100000,0.05,4,0.74,4953,8,2,0.002,0,,,,,,
100000,0.1,9,0.74,10000,9,6,0.001,0.001,,,,,,
100000,0.1,19,0.74,10000,0,0,0,0,,,,,,
100000,0.1,18,0.74,10000,0,0,0,0,,,,,,
100000,0.1,17,0.74,10000,0,0,0,0,,,,,,
100000,0.1,16,0.74,10000,0,0,0,0,,,,,,
100000,0.1,15,0.74,10000,0,0,0,0,,,,,,
100000,0.1,14,0.74,10000,0,0,0,0,,,,,,
100000,0.1,13,0.74,10000,0,0,0,0,,,,,,
100000,0.1,12,0.74,10000,0,0,0,0,,,,,,
100000,0.1,11,0.74,10000,0,0,0,0,,,,,,
100000,0.1,10,0.74,10000,1,0,0,0,,,,,,
100000,0.1,3,0.74,10000,0,0,0,0,,,,,,
100000,0.1,2,0.74,10000,0,0,0,0,,,,,,
100000,0.1,1,0.74,10000,0,0,0,0,,,,,,
100000,0.05,19,0.74,4953,0,0,0,0,,,,,,
100000,0.05,18,0.74,4953,0,0,0,0,,,,,,
100000,0.05,17,0.74,4953,0,0,0,0,,,,,,
100000,0.05,16,0.74,4953,0,0,0,0,,,,,,
100000,0.05,14,0.74,4953,0,0,0,0,,,,,,
100000,0.05,13,0.74,4953,0,0,0,0,,,,,,
100000,0.05,12,0.74,4953,0,0,0,0,,,,,,
100000,0.05,11,0.74,4953,0,0,0,0,,,,,,
100000,0.05,10,0.74,4953,0,0,0,0,,,,,,
100000,0.05,3,0.74,4953,0,0,0,0,,,,,,
100000,0.05,2,0.74,4953,0,0,0,0,,,,,,
100000,0.05,1,0.74,4953,0,0,0,0,,,,,,
100000,0.01,19,0.74,1037,0,0,0,0,,,,,,
100000,0.01,18,0.74,1037,0,0,0,0,,,,,,
100000,0.01,17,0.74,1037,0,0,0,0,,,,,,
100000,0.01,16,0.74,1037,0,0,0,0,,,,,,
100000,0.01,15,0.74,1037,0,0,0,0,,,,,,
100000,0.01,14,0.74,1037,0,0,0,0,,,,,,
100000,0.01,13,0.74,1037,0,0,0,0,,,,,,
100000,0.01,12,0.74,1037,0,0,0,0,,,,,,
100000,0.01,11,0.74,1037,0,0,0,0,,,,,,
100000,0.01,10,0.74,1037,0,0,0,0,,,,,,
100000,0.01,9,0.74,1037,0,0,0,0,,,,,,
100000,0.01,8,0.74,1037,0,0,0,0,,,,,,
100000,0.01,7,0.74,1037,0,0,0,0,,,,,,
100000,0.01,6,0.74,1037,0,0,0,0,,,,,,
100000,0.01,5,0.74,1037,0,0,0,0,,,,,,
100000,0.01,4,0.74,1037,0,0,0,0,,,,,,
100000,0.01,3,0.74,1037,0,0,0,0,,,,,,
100000,0.01,2,0.74,1037,0,0,0,0,,,,,,
100000,0.01,1,0.74,1037,0,0,0,0,,,,,,
100000,0.1,5,0.73,9961,1151,691,0.116,0.069,,,,,,
100000,0.1,6,0.73,9961,690,432,0.069,0.043,,,,,,
100000,0.1,4,0.73,9961,525,328,0.053,0.033,,,,,,
100000,0.05,6,0.73,5144,129,66,0.025,0.013,,,,,,
100000,0.1,7,0.73,9961,233,146,0.023,0.015,,,,,,
100000,0.05,5,0.73,5144,105,47,0.02,0.009,,,,,,
100000,0.05,7,0.73,5144,86,48,0.017,0.009,,,,,,
100000,0.05,8,0.73,5144,29,13,0.006,0.003,,,,,,
100000,0.1,8,0.73,9961,51,33,0.005,0.003,,,,,,
100000,0.05,4,0.73,5144,9,7,0.002,0.001,,,,,,
100000,0.1,9,0.73,9961,11,8,0.001,0.001,,,,,,
100000,0.05,10,0.73,5144,3,1,0.001,0,,,,,,
100000,0.05,9,0.73,5144,6,4,0.001,0.001,,,,,,
100000,0.1,19,0.73,9961,0,0,0,0,,,,,,
100000,0.1,18,0.73,9961,0,0,0,0,,,,,,
100000,0.1,17,0.73,9961,0,0,0,0,,,,,,
100000,0.1,16,0.73,9961,0,0,0,0,,,,,,
100000,0.1,15,0.73,9961,0,0,0,0,,,,,,
100000,0.1,14,0.73,9961,0,0,0,0,,,,,,
100000,0.1,13,0.73,9961,0,0,0,0,,,,,,
100000,0.1,12,0.73,9961,0,0,0,0,,,,,,
100000,0.1,11,0.73,9961,0,0,0,0,,,,,,
100000,0.1,10,0.73,9961,3,1,0,0,,,,,,
100000,0.1,3,0.73,9961,0,0,0,0,,,,,,
100000,0.1,2,0.73,9961,0,0,0,0,,,,,,
100000,0.1,1,0.73,9961,0,0,0,0,,,,,,
100000,0.05,19,0.73,5144,0,0,0,0,,,,,,
100000,0.05,18,0.73,5144,0,0,0,0,,,,,,
100000,0.05,17,0.73,5144,0,0,0,0,,,,,,
100000,0.05,16,0.73,5144,0,0,0,0,,,,,,
100000,0.05,15,0.73,5144,0,0,0,0,,,,,,
100000,0.05,14,0.73,5144,0,0,0,0,,,,,,
100000,0.05,13,0.73,5144,0,0,0,0,,,,,,
100000,0.05,12,0.73,5144,0,0,0,0,,,,,,
100000,0.05,11,0.73,5144,0,0,0,0,,,,,,
100000,0.05,3,0.73,5144,0,0,0,0,,,,,,
100000,0.05,2,0.73,5144,0,0,0,0,,,,,,
100000,0.05,1,0.73,5144,0,0,0,0,,,,,,
100000,0.01,19,0.73,1034,0,0,0,0,,,,,,
100000,0.01,18,0.73,1034,0,0,0,0,,,,,,
100000,0.01,17,0.73,1034,0,0,0,0,,,,,,
100000,0.01,16,0.73,1034,0,0,0,0,,,,,,
100000,0.01,15,0.73,1034,0,0,0,0,,,,,,
100000,0.01,14,0.73,1034,0,0,0,0,,,,,,
100000,0.01,13,0.73,1034,0,0,0,0,,,,,,
100000,0.01,12,0.73,1034,0,0,0,0,,,,,,
100000,0.01,11,0.73,1034,0,0,0,0,,,,,,
100000,0.01,10,0.73,1034,0,0,0,0,,,,,,
100000,0.01,9,0.73,1034,0,0,0,0,,,,,,
100000,0.01,8,0.73,1034,0,0,0,0,,,,,,
100000,0.01,7,0.73,1034,0,0,0,0,,,,,,
100000,0.01,6,0.73,1034,0,0,0,0,,,,,,
100000,0.01,3,0.73,1034,0,0,0,0,,,,,,
100000,0.01,2,0.73,1034,0,0,0,0,,,,,,
100000,0.01,1,0.73,1034,0,0,0,0,,,,,,
100000,0.1,5,0.72,9838,956,560,0.097,0.057,,,,,,
100000,0.1,4,0.72,9838,277,157,0.028,0.016,,,,,,
100000,0.05,6,0.72,4942,120,61,0.024,0.012,,,,,,
100000,0.05,5,0.72,4942,91,37,0.018,0.007,,,,,,
100000,0.1,7,0.72,9838,163,96,0.017,0.01,,,,,,
100000,0.05,7,0.72,4942,66,24,0.013,0.005,,,,,,
100000,0.05,8,0.72,4942,20,6,0.004,0.001,,,,,,
100000,0.1,8,0.72,9838,33,19,0.003,0.002,,,,,,
100000,0.05,9,0.72,4942,3,0,0.001,0,,,,,,
100000,0.05,4,0.72,4942,4,2,0.001,0,,,,,,
100000,0.01,7,0.72,988,1,0,0.001,0,,,,,,
100000,0.1,19,0.72,9838,0,0,0,0,,,,,,
100000,0.1,18,0.72,9838,0,0,0,0,,,,,,
100000,0.1,17,0.72,9838,0,0,0,0,,,,,,
100000,0.1,16,0.72,9838,0,0,0,0,,,,,,
100000,0.1,15,0.72,9838,0,0,0,0,,,,,,
100000,0.1,14,0.72,9838,0,0,0,0,,,,,,
100000,0.1,13,0.72,9838,0,0,0,0,,,,,,
100000,0.1,12,0.72,9838,0,0,0,0,,,,,,
100000,0.1,10,0.72,9838,1,1,0,0,,,,,,
100000,0.1,9,0.72,9838,3,1,0,0,,,,,,
100000,0.1,3,0.72,9838,0,0,0,0,,,,,,
100000,0.1,2,0.72,9838,0,0,0,0,,,,,,
100000,0.1,1,0.72,9838,0,0,0,0,,,,,,
100000,0.05,19,0.72,4942,0,0,0,0,,,,,,
100000,0.05,18,0.72,4942,0,0,0,0,,,,,,
100000,0.05,17,0.72,4942,0,0,0,0,,,,,,
100000,0.05,15,0.72,4942,0,0,0,0,,,,,,
100000,0.05,14,0.72,4942,0,0,0,0,,,,,,
100000,0.05,13,0.72,4942,0,0,0,0,,,,,,
100000,0.05,11,0.72,4942,1,1,0,0,,,,,,
100000,0.05,10,0.72,4942,1,1,0,0,,,,,,
100000,0.05,3,0.72,4942,0,0,0,0,,,,,,
100000,0.05,2,0.72,4942,0,0,0,0,,,,,,
100000,0.05,1,0.72,4942,0,0,0,0,,,,,,
100000,0.01,19,0.72,988,0,0,0,0,,,,,,
100000,0.01,18,0.72,988,0,0,0,0,,,,,,
100000,0.01,17,0.72,988,0,0,0,0,,,,,,
100000,0.01,16,0.72,988,0,0,0,0,,,,,,
100000,0.01,15,0.72,988,0,0,0,0,,,,,,
100000,0.01,14,0.72,988,0,0,0,0,,,,,,
100000,0.01,13,0.72,988,0,0,0,0,,,,,,
100000,0.01,12,0.72,988,0,0,0,0,,,,,,
100000,0.01,11,0.72,988,0,0,0,0,,,,,,
100000,0.01,10,0.72,988,0,0,0,0,,,,,,
100000,0.01,9,0.72,988,0,0,0,0,,,,,,
100000,0.01,8,0.72,988,0,0,0,0,,,,,,
100000,0.01,6,0.72,988,0,0,0,0,,,,,,
100000,0.01,5,0.72,988,0,0,0,0,,,,,,
100000,0.01,4,0.72,988,0,0,0,0,,,,,,
100000,0.01,3,0.72,988,0,0,0,0,,,,,,
100000,0.01,2,0.72,988,0,0,0,0,,,,,,
100000,0.01,1,0.72,988,0,0,0,0,,,,,,
100000,0.1,5,0.71,9932,858,478,0.086,0.048,,,,,,
100000,0.1,6,0.71,9932,428,249,0.043,0.025,,,,,,
100000,0.1,4,0.71,9932,243,120,0.024,0.012,,,,,,
100000,0.05,5,0.71,5015,74,26,0.015,0.005,,,,,,
100000,0.1,7,0.71,9932,125,76,0.013,0.008,,,,,,
100000,0.05,6,0.71,5015,66,31,0.013,0.006,,,,,,
100000,0.05,7,0.71,5015,38,15,0.008,0.003,,,,,,
100000,0.1,8,0.71,9932,36,21,0.004,0.002,,,,,,
100000,0.05,8,0.71,5015,20,10,0.004,0.002,,,,,,
100000,0.05,4,0.71,5015,20,10,0.004,0.002,,,,,,
100000,0.1,9,0.71,9932,7,6,0.001,0.001,,,,,,
100000,0.05,9,0.71,5015,3,2,0.001,0,,,,,,
100000,0.01,7,0.71,1011,1,0,0.001,0,,,,,,
100000,0.1,19,0.71,9932,0,0,0,0,,,,,,
100000,0.1,18,0.71,9932,0,0,0,0,,,,,,
100000,0.1,17,0.71,9932,0,0,0,0,,,,,,
100000,0.1,16,0.71,9932,0,0,0,0,,,,,,
100000,0.1,15,0.71,9932,0,0,0,0,,,,,,
100000,0.1,14,0.71,9932,0,0,0,0,,,,,,
100000,0.1,13,0.71,9932,0,0,0,0,,,,,,
100000,0.1,12,0.71,9932,0,0,0,0,,,,,,
100000,0.1,11,0.71,9932,0,0,0,0,,,,,,
100000,0.1,10,0.71,9932,3,3,0,0,,,,,,
100000,0.1,3,0.71,9932,0,0,0,0,,,,,,
100000,0.1,2,0.71,9932,0,0,0,0,,,,,,
100000,0.1,1,0.71,9932,0,0,0,0,,,,,,
100000,0.05,19,0.71,5015,0,0,0,0,,,,,,
100000,0.05,18,0.71,5015,0,0,0,0,,,,,,
100000,0.05,17,0.71,5015,0,0,0,0,,,,,,
100000,0.05,16,0.71,5015,0,0,0,0,,,,,,
100000,0.05,15,0.71,5015,0,0,0,0,,,,,,
100000,0.05,14,0.71,5015,0,0,0,0,,,,,,
100000,0.05,13,0.71,5015,0,0,0,0,,,,,,
100000,0.05,10,0.71,5015,0,0,0,0,,,,,,
100000,0.05,3,0.71,5015,0,0,0,0,,,,,,
100000,0.05,2,0.71,5015,0,0,0,0,,,,,,
100000,0.05,1,0.71,5015,0,0,0,0,,,,,,
100000,0.01,19,0.71,1011,0,0,0,0,,,,,,
100000,0.01,18,0.71,1011,0,0,0,0,,,,,,
100000,0.01,17,0.71,1011,0,0,0,0,,,,,,
100000,0.01,16,0.71,1011,0,0,0,0,,,,,,
100000,0.01,15,0.71,1011,0,0,0,0,,,,,,
100000,0.01,14,0.71,1011,0,0,0,0,,,,,,
100000,0.01,13,0.71,1011,0,0,0,0,,,,,,
100000,0.01,12,0.71,1011,0,0,0,0,,,,,,
100000,0.01,11,0.71,1011,0,0,0,0,,,,,,
100000,0.01,10,0.71,1011,0,0,0,0,,,,,,
100000,0.01,9,0.71,1011,0,0,0,0,,,,,,
100000,0.01,8,0.71,1011,0,0,0,0,,,,,,
100000,0.01,6,0.71,1011,0,0,0,0,,,,,,
100000,0.01,5,0.71,1011,0,0,0,0,,,,,,
100000,0.01,4,0.71,1011,0,0,0,0,,,,,,
100000,0.01,3,0.71,1011,0,0,0,0,,,,,,
100000,0.01,2,0.71,1011,0,0,0,0,,,,,,
100000,0.01,1,0.71,1011,0,0,0,0,,,,,,
100000,0.1,5,0.7,10088,702,352,0.07,0.035,,,,,,
100000,0.1,6,0.7,10088,339,177,0.034,0.018,,,,,,
100000,0.1,4,0.7,10088,201,84,0.02,0.008,,,,,,
100000,0.05,5,0.7,4979,79,31,0.016,0.006,,,,,,
100000,0.05,6,0.7,4979,73,29,0.015,0.006,,,,,,
100000,0.1,7,0.7,10088,96,49,0.01,0.005,,,,,,
100000,0.05,7,0.7,4979,31,21,0.006,0.004,,,,,,
100000,0.05,8,0.7,4979,17,9,0.003,0.002,,,,,,
100000,0.1,8,0.7,10088,19,11,0.002,0.001,,,,,,
100000,0.05,4,0.7,4979,10,4,0.002,0.001,,,,,,
100000,0.1,19,0.7,10088,0,0,0,0,,,,,,
100000,0.1,18,0.7,10088,0,0,0,0,,,,,,
100000,0.1,17,0.7,10088,0,0,0,0,,,,,,
100000,0.1,16,0.7,10088,0,0,0,0,,,,,,
100000,0.1,15,0.7,10088,0,0,0,0,,,,,,
100000,0.1,14,0.7,10088,0,0,0,0,,,,,,
100000,0.1,13,0.7,10088,0,0,0,0,,,,,,
100000,0.1,12,0.7,10088,0,0,0,0,,,,,,
100000,0.1,11,0.7,10088,0,0,0,0,,,,,,
100000,0.1,10,0.7,10088,0,0,0,0,,,,,,
100000,0.1,9,0.7,10088,2,1,0,0,,,,,,
100000,0.1,3,0.7,10088,0,0,0,0,,,,,,
100000,0.1,2,0.7,10088,0,0,0,0,,,,,,
100000,0.1,1,0.7,10088,0,0,0,0,,,,,,
100000,0.05,19,0.7,4979,0,0,0,0,,,,,,
100000,0.05,18,0.7,4979,0,0,0,0,,,,,,
100000,0.05,17,0.7,4979,0,0,0,0,,,,,,
100000,0.05,16,0.7,4979,0,0,0,0,,,,,,
100000,0.05,15,0.7,4979,0,0,0,0,,,,,,
100000,0.05,14,0.7,4979,0,0,0,0,,,,,,
100000,0.05,13,0.7,4979,0,0,0,0,,,,,,
100000,0.05,12,0.7,4979,0,0,0,0,,,,,,
100000,0.05,11,0.7,4979,0,0,0,0,,,,,,
100000,0.05,10,0.7,4979,0,0,0,0,,,,,,
100000,0.05,9,0.7,4979,0,0,0,0,,,,,,
100000,0.05,3,0.7,4979,0,0,0,0,,,,,,
100000,0.05,2,0.7,4979,0,0,0,0,,,,,,
100000,0.05,1,0.7,4979,0,0,0,0,,,,,,
100000,0.01,19,0.7,1068,0,0,0,0,,,,,,
100000,0.01,18,0.7,1068,0,0,0,0,,,,,,
100000,0.01,16,0.7,1068,0,0,0,0,,,,,,
100000,0.01,15,0.7,1068,0,0,0,0,,,,,,
100000,0.01,14,0.7,1068,0,0,0,0,,,,,,
100000,0.01,13,0.7,1068,0,0,0,0,,,,,,
100000,0.01,12,0.7,1068,0,0,0,0,,,,,,
100000,0.01,11,0.7,1068,0,0,0,0,,,,,,
100000,0.01,10,0.7,1068,0,0,0,0,,,,,,
100000,0.01,9,0.7,1068,0,0,0,0,,,,,,
100000,0.01,8,0.7,1068,0,0,0,0,,,,,,
100000,0.01,7,0.7,1068,0,0,0,0,,,,,,
100000,0.01,6,0.7,1068,0,0,0,0,,,,,,
100000,0.01,5,0.7,1068,0,0,0,0,,,,,,
100000,0.01,4,0.7,1068,0,0,0,0,,,,,,
100000,0.01,3,0.7,1068,0,0,0,0,,,,,,
100000,0.01,2,0.7,1068,0,0,0,0,,,,,,
100000,0.01,1,0.7,1068,0,0,0,0,,,,,,
100000,0.1,5,0.69,10045,594,308,0.059,0.031,,,,,,
100000,0.1,6,0.69,10045,330,169,0.033,0.017,,,,,,
100000,0.1,4,0.69,10045,174,74,0.017,0.007,,,,,,
100000,0.05,5,0.69,4978,82,29,0.016,0.006,,,,,,
100000,0.05,6,0.69,4978,64,22,0.013,0.004,,,,,,
100000,0.1,7,0.69,10045,72,41,0.007,0.004,,,,,,
100000,0.05,7,0.69,4978,26,7,0.005,0.001,,,,,,
100000,0.05,4,0.69,4978,17,4,0.003,0.001,,,,,,
100000,0.1,8,0.69,10045,16,11,0.002,0.001,,,,,,
100000,0.05,8,0.69,4978,4,2,0.001,0,,,,,,
100000,0.1,19,0.69,10045,0,0,0,0,,,,,,
100000,0.1,18,0.69,10045,0,0,0,0,,,,,,
100000,0.1,17,0.69,10045,0,0,0,0,,,,,,
100000,0.1,16,0.69,10045,0,0,0,0,,,,,,
100000,0.1,15,0.69,10045,0,0,0,0,,,,,,
100000,0.1,14,0.69,10045,0,0,0,0,,,,,,
100000,0.1,13,0.69,10045,0,0,0,0,,,,,,
100000,0.1,12,0.69,10045,0,0,0,0,,,,,,
100000,0.1,11,0.69,10045,0,0,0,0,,,,,,
100000,0.1,10,0.69,10045,0,0,0,0,,,,,,
100000,0.1,9,0.69,10045,0,0,0,0,,,,,,
100000,0.1,3,0.69,10045,0,0,0,0,,,,,,
100000,0.1,2,0.69,10045,0,0,0,0,,,,,,
100000,0.1,1,0.69,10045,0,0,0,0,,,,,,
100000,0.05,19,0.69,4978,0,0,0,0,,,,,,
100000,0.05,18,0.69,4978,0,0,0,0,,,,,,
100000,0.05,17,0.69,4978,0,0,0,0,,,,,,
100000,0.05,16,0.69,4978,0,0,0,0,,,,,,
100000,0.05,15,0.69,4978,0,0,0,0,,,,,,
100000,0.05,14,0.69,4978,0,0,0,0,,,,,,
100000,0.05,13,0.69,4978,0,0,0,0,,,,,,
100000,0.05,12,0.69,4978,0,0,0,0,,,,,,
100000,0.05,10,0.69,4978,0,0,0,0,,,,,,
100000,0.05,9,0.69,4978,0,0,0,0,,,,,,
100000,0.05,3,0.69,4978,0,0,0,0,,,,,,
100000,0.05,2,0.69,4978,0,0,0,0,,,,,,
100000,0.05,1,0.69,4978,0,0,0,0,,,,,,
100000,0.01,19,0.69,1006,0,0,0,0,,,,,,
100000,0.01,18,0.69,1006,0,0,0,0,,,,,,
100000,0.01,17,0.69,1006,0,0,0,0,,,,,,
100000,0.01,16,0.69,1006,0,0,0,0,,,,,,
100000,0.01,15,0.69,1006,0,0,0,0,,,,,,
